# population=byteclasses cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:11:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
bc026	2	5	124	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.005559	ALL:2
bc026	2	5	124	256	speed	2	36	0	36	0	0.0	PASS	0	0.005847	ALL:2
bc026	2	5	124	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.005659	ALL:2
bc027	3	251	256	0	size	1	44	0	44	0	6.0	PASS	0	0.005609	RANGES:1
bc027	3	251	256	4	n1size	1	44	0	44	0	6.0	PASS	0	0.005730	RANGES:1
bc027	3	251	256	16	mid	3	52	0	52	0	0.0	PASS	0	0.006117	ALL:3
bc027	3	251	256	64	n1speed	3	52	0	52	0	0.0	PASS	0	0.005567	ALL:3
bc027	3	251	256	256	speed	3	52	0	52	0	0.0	PASS	0	0.003631	ALL:3
bc027	3	251	256	1e+09	maxspeed	3	52	0	52	0	0.0	PASS	0	0.005770	ALL:3
bc028	4	13	152	0	size	2	68	0	68	0	3.0	PASS	0	0.006350	ALL:1,MASK64:1
bc028	4	13	152	4	n1size	2	68	0	68	0	3.0	PASS	0	0.005538	ALL:1,MASK64:1
bc028	4	13	152	16	mid	2	68	0	68	0	3.0	PASS	0	0.005640	ALL:1,MASK64:1
bc028	4	13	152	64	n1speed	4	68	0	68	0	0.0	PASS	0	0.005698	ALL:4
bc028	4	13	152	256	speed	4	68	0	68	0	0.0	PASS	0	0.005515	ALL:4
bc028	4	13	152	1e+09	maxspeed	4	68	0	68	0	0.0	PASS	0	0.005546	ALL:4
bc029	2	12	74	0	size	1	36	0	36	0	4.0	PASS	0	0.005463	RANGES:1
bc029	2	12	74	4	n1size	2	36	0	36	0	0.0	PASS	0	0.005524	ALL:2
bc029	2	12	74	16	mid	2	36	0	36	0	0.0	PASS	0	0.005969	ALL:2
