# cc=gcc rounds=11 load1_at_start=0.10 date=2026-09-11T15:29:14
set	regime	arm	round	ns_per_char	hits	chk
^L	full	lam0	6	5.4472	915689	480093378074
^L	full	lam16	6	6.0201	915689	480093378074
^L	full	lam256	6	4.9340	915689	480093378074
^L	full	refbs	7	12.4584	915689	480093378074
^L	full	bitmap1	7	1.7521	915689	480093378074
^L	full	lam0	7	5.4363	915689	480093378074
^L	full	lam16	7	6.0375	915689	480093378074
^L	full	lam256	7	4.9354	915689	480093378074
^L	full	refbs	8	12.4183	915689	480093378074
^L	full	bitmap1	8	1.7533	915689	480093378074
^L	full	lam0	8	5.4361	915689	480093378074
^L	full	lam16	8	6.0224	915689	480093378074
^L	full	lam256	8	4.9256	915689	480093378074
^L	full	refbs	9	12.6332	915689	480093378074
^L	full	bitmap1	9	1.7530	915689	480093378074
^L	full	lam0	9	5.4355	915689	480093378074
^L	full	lam16	9	6.0182	915689	480093378074
^L	full	lam256	9	4.9294	915689	480093378074
^L	full	refbs	10	12.4920	915689	480093378074
^L	full	bitmap1	10	1.7524	915689	480093378074
^L	full	lam0	10	5.4471	915689	480093378074
^L	full	lam16	10	6.0218	915689	480093378074
^L	full	lam256	10	4.9305	915689	480093378074
C	member	refbs	0	12.3782	1048576	549756338176
C	member	bitmap1	0	1.7778	1048576	549756338176
C	member	lam0	0	3.6364	1048576	549756338176
C	member	lam16	0	5.5298	1048576	549756338176
C	member	lam256	0	3.1447	1048576	549756338176
C	member	refbs	1	12.2884	1048576	549756338176
C	member	bitmap1	1	1.7384	1048576	549756338176
C	member	lam0	1	3.6089	1048576	549756338176
C	member	lam16	1	5.5321	1048576	549756338176
C	member	lam256	1	3.1477	1048576	549756338176
C	member	refbs	2	12.2410	1048576	549756338176
C	member	bitmap1	2	1.7484	1048576	549756338176
C	member	lam0	2	3.6019	1048576	549756338176
C	member	lam16	2	5.5280	1048576	549756338176
C	member	lam256	2	3.1459	1048576	549756338176
C	member	refbs	3	12.2428	1048576	549756338176
C	member	bitmap1	3	1.7371	1048576	549756338176
C	member	lam0	3	3.5948	1048576	549756338176
C	member	lam16	3	5.5380	1048576	549756338176
C	member	lam256	3	3.1429	1048576	549756338176
C	member	refbs	4	12.7341	1048576	549756338176
C	member	bitmap1	4	1.7714	1048576	549756338176
C	member	lam0	4	3.5924	1048576	549756338176
C	member	lam16	4	5.5319	1048576	549756338176
C	member	lam256	4	3.1401	1048576	549756338176
C	member	refbs	5	12.2617	1048576	549756338176
C	member	bitmap1	5	1.7471	1048576	549756338176
C	member	lam0	5	3.5935	1048576	549756338176
C	member	lam16	5	5.5334	1048576	549756338176
C	member	lam256	5	3.1421	1048576	549756338176
C	member	refbs	6	12.4038	1048576	549756338176
C	member	bitmap1	6	1.7422	1048576	549756338176
C	member	lam0	6	3.5967	1048576	549756338176
C	member	lam16	6	5.5262	1048576	549756338176
C	member	lam256	6	3.1437	1048576	549756338176
C	member	refbs	7	12.2365	1048576	549756338176
C	member	bitmap1	7	1.7376	1048576	549756338176
C	member	lam0	7	3.5959	1048576	549756338176
C	member	lam16	7	5.5291	1048576	549756338176
C	member	lam256	7	3.1404	1048576	549756338176
C	member	refbs	8	12.2702	1048576	549756338176
C	member	bitmap1	8	1.7478	1048576	549756338176
C	member	lam0	8	3.5937	1048576	549756338176
C	member	lam16	8	5.5369	1048576	549756338176
C	member	lam256	8	3.1403	1048576	549756338176
C	member	refbs	9	12.2318	1048576	549756338176
C	member	bitmap1	9	1.7379	1048576	549756338176
C	member	lam0	9	3.5960	1048576	549756338176
C	member	lam16	9	5.5314	1048576	549756338176
C	member	lam256	9	3.1418	1048576	549756338176
C	member	refbs	10	12.2549	1048576	549756338176
C	member	bitmap1	10	1.7426	1048576	549756338176
C	member	lam0	10	3.5948	1048576	549756338176
C	member	lam16	10	5.5329	1048576	549756338176
C	member	lam256	10	3.1395	1048576	549756338176
C	mixed	refbs	0	13.8034	975084	511206967053
C	mixed	bitmap1	0	1.8186	975084	511206967053
C	mixed	lam0	0	5.3809	975084	511206967053
C	mixed	lam16	0	6.5441	975084	511206967053
C	mixed	lam256	0	4.6918	975084	511206967053
C	mixed	refbs	1	13.7852	975084	511206967053
C	mixed	bitmap1	1	1.7789	975084	511206967053
C	mixed	lam0	1	5.3937	975084	511206967053
C	mixed	lam16	1	6.5481	975084	511206967053
C	mixed	lam256	1	4.8520	975084	511206967053
C	mixed	refbs	2	13.8083	975084	511206967053
C	mixed	bitmap1	2	1.7676	975084	511206967053
C	mixed	lam0	2	5.3934	975084	511206967053
C	mixed	lam16	2	6.5236	975084	511206967053
C	mixed	lam256	2	4.7300	975084	511206967053
C	mixed	refbs	3	13.7925	975084	511206967053
C	mixed	bitmap1	3	1.7635	975084	511206967053
C	mixed	lam0	3	5.3948	975084	511206967053
C	mixed	lam16	3	6.5362	975084	511206967053
C	mixed	lam256	3	4.8702	975084	511206967053
C	mixed	refbs	4	13.7461	975084	511206967053
C	mixed	bitmap1	4	1.7659	975084	511206967053
C	mixed	lam0	4	5.3903	975084	511206967053
C	mixed	lam16	4	6.5472	975084	511206967053
C	mixed	lam256	4	4.8521	975084	511206967053
C	mixed	refbs	5	13.7568	975084	511206967053
C	mixed	bitmap1	5	1.7650	975084	511206967053
C	mixed	lam0	5	5.3956	975084	511206967053
C	mixed	lam16	5	6.5576	975084	511206967053
C	mixed	lam256	5	4.8180	975084	511206967053
C	mixed	refbs	6	13.8356	975084	511206967053
C	mixed	bitmap1	6	1.7682	975084	511206967053
C	mixed	lam0	6	5.3969	975084	511206967053
C	mixed	lam16	6	6.5391	975084	511206967053
C	mixed	lam256	6	4.8516	975084	511206967053
C	mixed	refbs	7	13.7846	975084	511206967053
C	mixed	bitmap1	7	1.7638	975084	511206967053
C	mixed	lam0	7	5.3900	975084	511206967053
C	mixed	lam16	7	6.6025	975084	511206967053
C	mixed	lam256	7	4.8590	975084	511206967053
C	mixed	refbs	8	13.7293	975084	511206967053
C	mixed	bitmap1	8	1.7595	975084	511206967053
C	mixed	lam0	8	5.3911	975084	511206967053
C	mixed	lam16	8	6.5532	975084	511206967053
C	mixed	lam256	8	4.8554	975084	511206967053
C	mixed	refbs	9	13.7734	975084	511206967053
C	mixed	bitmap1	9	1.7509	975084	511206967053
C	mixed	lam0	9	5.4128	975084	511206967053
C	mixed	lam16	9	6.5476	975084	511206967053
C	mixed	lam256	9	4.8541	975084	511206967053
