# seed=1 cases=40 lams=0,16,256 cc=gcc-16 elapsed_s=201.9 date=2026-09-11T09:16:56
# EVERY row compares 1114112 code points (0..0x10FFFF)
# PASS=438 FAIL=0
case	genA	genB	op	lam	nA	nB	nC	verdict	detail
p030_compl_l16	random	fold	compl	16.0	58	170	59	PASS	0
p030_compl_l256	random	fold	compl	256.0	58	170	59	PASS	0
p031_union_l0	sparse	random	union	0.0	16	211	227	PASS	0
p031_union_l16	sparse	random	union	16.0	16	211	227	PASS	0
p031_union_l256	sparse	random	union	256.0	16	211	227	PASS	0
p031_diff_l0	sparse	random	diff	0.0	16	211	16	PASS	0
p031_diff_l16	sparse	random	diff	16.0	16	211	16	PASS	0
p031_diff_l256	sparse	random	diff	256.0	16	211	16	PASS	0
p031_compl_l0	sparse	random	compl	0.0	16	211	17	PASS	0
p031_compl_l16	sparse	random	compl	16.0	16	211	17	PASS	0
p031_compl_l256	sparse	random	compl	256.0	16	211	17	PASS	0
p032_union_l0	boundary	comb	union	0.0	8	4	12	PASS	0
p032_union_l16	boundary	comb	union	16.0	8	4	12	PASS	0
p032_union_l256	boundary	comb	union	256.0	8	4	12	PASS	0
p032_diff_l0	boundary	comb	diff	0.0	8	4	8	PASS	0
p032_diff_l16	boundary	comb	diff	16.0	8	4	8	PASS	0
p032_diff_l256	boundary	comb	diff	256.0	8	4	8	PASS	0
p032_compl_l0	boundary	comb	compl	0.0	8	4	7	PASS	0
p032_compl_l16	boundary	comb	compl	16.0	8	4	7	PASS	0
p032_compl_l256	boundary	comb	compl	256.0	8	4	7	PASS	0
p033_union_l0	comb	orbit	union	0.0	437	1536	1949	PASS	0
p033_union_l16	comb	orbit	union	16.0	437	1536	1949	PASS	0
p033_union_l256	comb	orbit	union	256.0	437	1536	1949	PASS	0
p033_inter_l0	comb	orbit	inter	0.0	437	1536	8	PASS	0
p033_inter_l16	comb	orbit	inter	16.0	437	1536	8	PASS	0
p033_inter_l256	comb	orbit	inter	256.0	437	1536	8	PASS	0
p033_diff_l0	comb	orbit	diff	0.0	437	1536	429	PASS	0
p033_diff_l16	comb	orbit	diff	16.0	437	1536	429	PASS	0
p033_diff_l256	comb	orbit	diff	256.0	437	1536	429	PASS	0
p033_compl_l0	comb	orbit	compl	0.0	437	1536	438	PASS	0
p033_compl_l16	comb	orbit	compl	16.0	437	1536	438	PASS	0
p033_compl_l256	comb	orbit	compl	256.0	437	1536	438	PASS	0
p034_union_l0	dense	sparse	union	0.0	9	47	46	PASS	0
p034_union_l16	dense	sparse	union	16.0	9	47	46	PASS	0
p034_union_l256	dense	sparse	union	256.0	9	47	46	PASS	0
p034_inter_l0	dense	sparse	inter	0.0	9	47	10	PASS	0
p034_inter_l16	dense	sparse	inter	16.0	9	47	10	PASS	0
p034_inter_l256	dense	sparse	inter	256.0	9	47	10	PASS	0
p034_diff_l0	dense	sparse	diff	0.0	9	47	19	PASS	0
p034_diff_l16	dense	sparse	diff	16.0	9	47	19	PASS	0
p034_diff_l256	dense	sparse	diff	256.0	9	47	19	PASS	0
p034_compl_l0	dense	sparse	compl	0.0	9	47	10	PASS	0
p034_compl_l16	dense	sparse	compl	16.0	9	47	10	PASS	0
