# population=uprops cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:05:22
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
SYRC	19	119	6904	16	mid	5	156	41	197	41	9.0	PASS	0	0.005794	ALL:3,BITMAP:1,MASK64:1
SYRC	19	119	6904	256	speed	3	108	173	281	173	6.0	PASS	0	0.005717	ALL:2,BITMAP:1
CYRL	18	521	122324	0	size	3	248	0	248	0	36.0	PASS	0	0.005686	RANGES:3
CYRL	18	521	122324	16	mid	13	324	0	324	0	3.0	PASS	0	0.005322	ALL:12,MASK64:1
CYRL	18	521	122324	256	speed	13	324	0	324	0	3.0	PASS	0	0.005692	ALL:12,MASK64:1
ORYA	18	97	5026	0	size	3	220	0	220	0	36.0	PASS	0	0.005634	RANGES:3
ORYA	18	97	5026	16	mid	3	108	69	177	69	6.0	PASS	0	0.006142	ALL:2,BITMAP:1
ORYA	18	97	5026	256	speed	3	108	69	177	69	6.0	PASS	0	0.005519	ALL:2,BITMAP:1
TAML	18	123	70782	0	size	2	140	0	140	0	19.0	PASS	0	0.005820	MASK64:1,RANGES:1
TAML	18	123	70782	16	mid	3	112	16	128	16	6.0	PASS	0	0.005683	ALL:2,BITMAP:1
TAML	18	123	70782	256	speed	3	112	16	128	16	6.0	PASS	0	0.005688	ALL:2,BITMAP:1
GUJR	17	105	40681	0	size	3	204	0	204	0	32.0	PASS	0	0.004449	ALL:1,RANGES:2
GUJR	17	105	40681	16	mid	2	80	54	134	54	6.0	PASS	0	0.005686	ALL:1,BITMAP:1
GUJR	17	105	40681	256	speed	2	80	54	134	54	6.0	PASS	0	0.005354	ALL:1,BITMAP:1
HIRA	17	433	115200	0	size	3	292	0	292	0	32.0	PASS	0	0.005414	ALL:1,RANGES:2
HIRA	17	433	115200	16	mid	7	260	32	292	32	9.0	PASS	0	0.005648	ALL:5,BITMAP:1,MASK64:1
HIRA	17	433	115200	256	speed	9	268	32	300	32	6.0	PASS	0	0.005720	ALL:8,BITMAP:1
TELU	17	106	5026	0	size	3	208	0	208	0	32.0	PASS	0	0.005776	ALL:1,RANGES:2
TELU	17	106	5026	16	mid	5	136	16	152	16	6.0	PASS	0	0.005630	ALL:4,BITMAP:1
TELU	17	106	5026	256	speed	1	56	629	685	629	6.0	PASS	0	0.005552	BITMAP:1
GLAG	16	144	122740	0	size	2	216	0	216	0	32.0	PASS	0	0.005437	RANGES:2
GLAG	16	144	122740	16	mid	12	264	0	264	0	3.0	PASS	0	0.005967	ALL:11,MASK64:1
GLAG	16	144	122740	256	speed	12	264	0	264	0	3.0	PASS	0	0.005522	ALL:11,MASK64:1
GURU	16	80	118	0	size	2	116	0	116	0	17.0	PASS	0	0.005525	MASK64:1,RANGES:1
GURU	16	80	118	16	mid	1	52	15	67	15	6.0	PASS	0	0.005564	BITMAP:1
GURU	16	80	118	256	speed	1	52	15	67	15	6.0	PASS	0	0.005654	BITMAP:1
TUTG	16	99	67325	0	size	2	212	0	212	0	32.0	PASS	0	0.005503	RANGES:2
TUTG	16	99	67325	16	mid	6	176	13	189	13	6.0	PASS	0	0.005524	ALL:5,BITMAP:1
TUTG	16	99	67325	256	speed	6	176	13	189	13	6.0	PASS	0	0.005456	ALL:5,BITMAP:1
BOPO	15	122	64671	0	size	2	232	0	232	0	30.0	PASS	0	0.005904	RANGES:2
BOPO	15	122	64671	16	mid	7	224	0	224	0	6.0	PASS	0	0.005558	ALL:5,MASK64:2
BOPO	15	122	64671	256	speed	7	224	0	224	0	6.0	PASS	0	0.004444	ALL:5,MASK64:2
GRAN	15	85	117	0	size	2	180	0	180	0	30.0	PASS	0	0.005530	RANGES:2
GRAN	15	85	117	16	mid	1	56	15	71	15	6.0	PASS	0	0.005197	BITMAP:1
GRAN	15	85	117	256	speed	1	56	15	71	15	6.0	PASS	0	0.005632	BITMAP:1
SINH	15	114	67729	0	size	2	196	0	196	0	30.0	PASS	0	0.005178	RANGES:2
SINH	15	114	67729	16	mid	4	144	15	159	15	6.0	PASS	0	0.005784	ALL:3,BITMAP:1
SINH	15	114	67729	256	speed	3	116	147	263	147	6.0	PASS	0	0.006633	ALL:2,BITMAP:1
BENG	14	96	127	0	size	2	144	0	144	0	28.0	PASS	0	0.006025	RANGES:2
BENG	14	96	127	16	mid	1	52	16	68	16	6.0	PASS	0	0.005462	BITMAP:1
BENG	14	96	127	256	speed	1	52	16	68	16	6.0	PASS	0	0.005435	BITMAP:1
GUJR	14	91	127	0	size	2	148	0	148	0	28.0	PASS	0	0.005473	RANGES:2
GUJR	14	91	127	16	mid	1	52	16	68	16	6.0	PASS	0	0.005582	BITMAP:1
GUJR	14	91	127	256	speed	1	52	16	68	16	6.0	PASS	0	0.003976	BITMAP:1
HANG	14	11739	61149	0	size	2	228	0	228	0	28.0	PASS	0	0.005837	RANGES:2
HANG	14	11739	61149	16	mid	10	288	0	288	0	3.0	PASS	0	0.005141	ALL:9,MASK64:1
HANG	14	11739	61149	256	speed	10	288	0	288	0	3.0	PASS	0	0.003832	ALL:9,MASK64:1
KANA	14	321	98503	0	size	2	240	0	240	0	28.0	PASS	0	0.005764	RANGES:2
KANA	14	321	98503	16	mid	11	320	0	320	0	3.0	PASS	0	0.005657	ALL:10,MASK64:1
KANA	14	321	98503	256	speed	11	320	0	320	0	3.0	PASS	0	0.005971	ALL:10,MASK64:1
ORYA	14	91	119	0	size	2	144	0	144	0	28.0	PASS	0	0.005586	RANGES:2
ORYA	14	91	119	16	mid	1	52	15	67	15	6.0	PASS	0	0.006128	BITMAP:1
ORYA	14	91	119	256	speed	1	52	15	67	15	6.0	PASS	0	0.006101	BITMAP:1
GEOR	13	178	11643	0	size	2	232	0	232	0	26.0	PASS	0	0.005631	RANGES:2
GEOR	13	178	11643	16	mid	9	244	0	244	0	6.0	PASS	0	0.005446	ALL:7,MASK64:2
GEOR	13	178	11643	256	speed	1	56	1456	1512	1456	6.0	PASS	0	0.005315	BITMAP:1
